model,roc_auc,pr_auc,f1,precision,recall,threshold,fpr,params,best_epoch,train_s
mlp,0.7247,0.1347,0.1337,0.1462,0.1232,0.9268,0.041,7297,200,57.1
gcn,0.6825,0.1273,0.0883,0.0937,0.0834,0.9409,0.0459,7297,200,83.3
gat,0.709,0.1252,0.2012,0.1654,0.257,0.9629,0.0739,7945,177,161.4
graphsage,0.8484,0.3476,0.3111,0.2175,0.5462,0.9521,0.1119,14465,19,19.4
gin,0.7151,0.1069,0.0056,0.0149,0.0035,0.8972,0.013,40323,85,48.5
