,roc_auc,roc_auc,pr_auc,pr_auc,f1,f1
,mean,std,mean,std,mean,std
model,,,,,,
gat,0.7177,0.0156,0.1298,0.0082,0.2091,0.0157
gcn,0.6845,0.0021,0.1311,0.0037,0.0904,0.0027
gin,0.7043,0.0086,0.1047,0.0074,0.0352,0.0444
graphsage,0.8301,0.0166,0.2713,0.0667,0.272,0.0347
mlp,0.7229,0.004,0.1378,0.0113,0.1444,0.0164
