model,roc_auc,pr_auc,f1,precision,recall,threshold,fpr,params,best_epoch,train_s
mlp,0.8311,0.378,0.3863,0.3619,0.4142,0.6987,0.0353,21377,16,3.3
gcn,0.8181,0.3229,0.405,0.4106,0.3995,0.5689,0.0277,21377,18,4.9
gat,0.83,0.2903,0.359,0.3384,0.3824,0.714,0.0362,22025,27,6.3
graphsage,0.8214,0.3735,0.3943,0.3846,0.4044,0.631,0.0313,42625,33,5.4
gin,0.8215,0.4387,0.4315,0.4833,0.3897,0.5454,0.0202,54403,164,18.2
